Indicator,Last Observed,Indicator Type,Observation Yearly Count,ThreatConnect Rating,Observation Penalty Multiplier,Botnet Flag,False Positives,Partners,incidents/events,Threat Actor,Tagging Boost,Tagging Boost Reason,CAL Score,ThreatConnect Score,PRISM Score,Severity,Explanation
69.5.169.34,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,390,574,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.36,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,510,634,500,high,[2026-06-03] Severity: high. VT score: 14. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.41,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,470,614,500,high,[2026-06-03] Severity: high. VT score: 14. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.42,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,490,624,500,high,[2026-06-03] Severity: high. VT score: 15. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.43,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,540,649,500,high,[2026-06-03] Severity: high. VT score: 15. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.44,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,530,644,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.45,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,460,609,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.47,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,540,649,500,high,[2026-06-03] Severity: high. VT score: 14. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.5,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,330,544,500,high,[2026-06-03] Severity: high. VT score: 14. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.52,2026-06-03,Address,7,3,0.9996164383561644,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,540,649,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.53,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,650,704,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.55,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,470,614,500,high,[2026-06-03] Severity: high. VT score: 14. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.56,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,460,609,500,high,[2026-06-03] Severity: high. VT score: 14. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.57,2026-06-03,Address,6,3,0.9996712328767123,0,0,"DHA, HRSA, IHS, NIH, OS, VA",,,0.0,,490,624,500,high,[2026-06-03] Severity: high. VT score: 15. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 6 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.58,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,490,624,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.60,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,530,644,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.62,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,510,634,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.63,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,490,624,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
